horizon_hours,threshold_policy,threshold,development_csi,development_precision,development_recall,development_tp,development_fp,development_fn,development_tn,metric_scope
24,MAX_CSI,0.321,0.4653284671532847,0.6380316930775647,0.6322314049586777,765,434,445,19367,DEVELOPMENT_VALIDATION_ONLY__NOT_FINAL_PERFORMANCE
24,RECALL80_MAX_PRECISION,0.132,0.43041351711871945,0.48231190832087695,0.8,968,1039,242,18762,DEVELOPMENT_VALIDATION_ONLY__NOT_FINAL_PERFORMANCE
48,MAX_CSI,0.355,0.4418952618453865,0.6696900982615268,0.5650510204081632,886,437,682,18828,DEVELOPMENT_VALIDATION_ONLY__NOT_FINAL_PERFORMANCE
48,RECALL80_MAX_PRECISION,0.095,0.34649364991717285,0.3792686612269568,0.8003826530612245,1255,2054,313,17211,DEVELOPMENT_VALIDATION_ONLY__NOT_FINAL_PERFORMANCE
72,MAX_CSI,0.34,0.4207760711398545,0.6406153846153846,0.5507936507936508,1041,584,849,18184,DEVELOPMENT_VALIDATION_ONLY__NOT_FINAL_PERFORMANCE
72,RECALL80_MAX_PRECISION,0.078,0.2900997697620875,0.31278444352503104,0.8,1512,3322,378,15446,DEVELOPMENT_VALIDATION_ONLY__NOT_FINAL_PERFORMANCE
