horizon_hours,frozen_config_id,model_name,weighting_strategy,hyperparameters_json,base_model_training_partition,calibration_method,threshold_max_csi,threshold_recall80_max_precision,final_holdout,test_predictions_generated
24,M2_HGB_W2_LR0p1_LEAF31_L21p0,HIST_GRADIENT_BOOSTING,RECEPTOR_BALANCED_WEIGHTING,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",F3_FIT_ONLY__THROUGH_2019,PLATT_ON_POOLED_OOF_VALIDATION_2014_2022,0.321,0.132,F3_TEST_2023_2025__SEALED,False
48,M2_HGB_W2_LR0p1_LEAF31_L21p0,HIST_GRADIENT_BOOSTING,RECEPTOR_BALANCED_WEIGHTING,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",F3_FIT_ONLY__THROUGH_2019,PLATT_ON_POOLED_OOF_VALIDATION_2014_2022,0.355,0.095,F3_TEST_2023_2025__SEALED,False
72,M2_HGB_W1_LR0p05_LEAF15_L21p0,HIST_GRADIENT_BOOSTING,NATURAL_ROW_WEIGHTING,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",F3_FIT_ONLY__THROUGH_2019,PLATT_ON_POOLED_OOF_VALIDATION_2014_2022,0.34,0.078,F3_TEST_2023_2025__SEALED,False
